Index,Park,Configuration,Fin1,Fin2,BestTime
1,Thunderhill,5Mile-Full,"[39.538477655215786, -122.33109674040293]","[39.538470932550936, -122.3312972355133]",00:00:00.00
2,Thunderhill,5Mile-DoubleBypass,"[39.538477655215786, -122.33109674040293]","[39.538470932550936, -122.3312972355133]",00:00:00.00
3,Thunderhill,East,"[39.538477655215786, -122.33109674040293]","[39.538470932550936, -122.3312972355133]",00:00:00.00
4,Thunderhill,West,"[39.537444958977645, -122.33885205153484]","[39.537468747217304, -122.33855767911531]",00:00:00.00
5,Laguna Seca,Full,"[36.586498236803244, -121.7567011920539]","[36.586384628990885, -121.75649265031703]",00:00:00.00
